time       epoch       loss   val_loss
05:02:29     483   0.142006   0.235746
05:03:15     484   0.144941   0.249509
05:04:00     485   0.143437   0.220559
05:04:45     486   0.145443   0.219740
05:05:30     487   0.142888   0.226307
05:06:15     488   0.143191   0.225544
05:07:00     489   0.141778   0.221032
05:07:45     490   0.142886   0.226045
05:08:30     491   0.141960   0.221140
05:09:16     492   0.143028   0.217708
05:10:01     493   0.139534   0.219659
05:10:46     494   0.141296   0.236700
05:11:32     495   0.141713   0.224970
05:12:18     496   0.141619   0.222762
05:13:04     497   0.137838   0.224565
05:13:50     498   0.139943   0.238167
05:14:36     499   0.141788   0.220154
05:15:21     500   0.141399   0.225274
05:16:07     501   0.142044   0.220563
05:16:52     502   0.140971   0.229406
05:17:38     503   0.145182   0.225054
05:18:23     504   0.139419   0.224494
05:19:09     505   0.140817   0.223816
05:19:54     506   0.142258   0.226791
05:20:40     507   0.139029   0.224769
05:21:25     508   0.141645   0.221827
05:22:10     509   0.140505   0.237096
05:22:56     510   0.138822   0.214892
05:23:41     511   0.138730   0.231686
05:24:26     512   0.137879   0.221208
05:25:12     513   0.138217   0.221208
05:25:57     514   0.138141   0.225842
05:26:42     515   0.143991   0.226099
05:27:28     516   0.137697   0.221535
05:28:13     517   0.137000   0.210659 *
05:28:59     518   0.136049   0.237430
05:29:43     519   0.138749   0.216879
05:30:28     520   0.137021   0.225251
05:31:13     521   0.138275   0.226557
05:31:58     522   0.137447   0.233048
05:32:42     523   0.138462   0.220233
05:33:28     524   0.139009   0.230627
05:34:12     525   0.139159   0.216815
05:34:57     526   0.138014   0.215594
05:35:42     527   0.138978   0.229619
05:36:28     528   0.139100   0.244659
05:37:13     529   0.138534   0.222733
05:37:58     530   0.138631   0.230119
05:38:43     531   0.138353   0.222246
05:39:29     532   0.136849   0.234630
05:40:14     533   0.135981   0.229563
05:40:59     534   0.139302   0.225914
05:41:44     535   0.136530   0.226511
05:42:30     536   0.135250   0.234962
05:43:16     537   0.135799   0.235817
05:44:02     538   0.135386   0.223302
05:44:48     539   0.135683   0.225147
05:45:33     540   0.136301   0.233948
05:46:19     541   0.136146   0.232782
05:47:03     542   0.136985   0.220873
05:47:48     543   0.136679   0.228086
05:48:33     544   0.136852   0.219461
05:49:19     545   0.138040   0.232877
05:50:04     546   0.137943   0.230177
05:50:50     547   0.134523   0.223300
05:51:36     548   0.136685   0.241075
05:52:21     549   0.133714   0.220762
05:53:06     550   0.134778   0.219527
05:53:51     551   0.133457   0.234707
05:54:36     552   0.134038   0.219430
05:55:21     553   0.134068   0.228111
05:56:07     554   0.135526   0.221746
05:56:52     555   0.134909   0.228219
05:57:37     556   0.133512   0.223604
05:58:22     557   0.137343   0.215584
05:59:07     558   0.134249   0.234485
05:59:52     559   0.134278   0.226072
06:00:37     560   0.136582   0.219731
06:01:23     561   0.135373   0.235605
06:02:08     562   0.132349   0.219605
06:02:54     563   0.136418   0.227301
06:03:39     564   0.132479   0.211646
06:04:24     565   0.131756   0.229330
06:05:09     566   0.132793   0.229631
06:05:54     567   0.131687   0.221088
06:06:40     568   0.131703   0.227830
06:07:25     569   0.132636   0.222018
06:08:10     570   0.138557   0.223484
06:08:54     571   0.134487   0.228700
06:09:39     572   0.131433   0.217809
06:10:25     573   0.133213   0.236754
06:11:10     574   0.134297   0.224545
06:11:55     575   0.132686   0.223083
06:12:40     576   0.130122   0.222675
06:13:25     577   0.132914   0.233463
06:14:11     578   0.131551   0.219649
06:14:56     579   0.130709   0.230399
06:15:40     580   0.130880   0.215343
06:16:25     581   0.133610   0.229416
06:17:11     582   0.134163   0.210027 *
06:17:56     583   0.130467   0.224238
06:18:41     584   0.134512   0.230516
06:19:26     585   0.131999   0.214225
06:20:12     586   0.131931   0.234727
06:20:57     587   0.131403   0.238243
06:21:43     588   0.131106   0.225301
06:22:28     589   0.131361   0.223893
06:23:13     590   0.131490   0.228880
06:23:58     591   0.132791   0.217709
06:24:44     592   0.128805   0.227029
06:25:29     593   0.131791   0.226473
06:26:14     594   0.131157   0.227182
06:26:59     595   0.131941   0.217960
06:27:44     596   0.135180   0.221591
06:28:30     597   0.131176   0.218945
06:29:16     598   0.131102   0.215687
06:30:01     599   0.128792   0.219951
06:30:46     600   0.132667   0.248654
06:31:31     601   0.131998   0.240954
06:32:16     602   0.129306   0.235470
06:33:01     603   0.130401   0.223115
06:33:46     604   0.130643   0.235316
06:34:31     605   0.125968   0.242825
06:35:17     606   0.131227   0.216516
06:36:01     607   0.130262   0.222667
06:36:45     608   0.129523   0.215506
06:37:30     609   0.129836   0.221280
06:38:16     610   0.129539   0.216127
06:39:01     611   0.129783   0.237178
06:39:46     612   0.130270   0.235664
06:40:31     613   0.130468   0.229965
06:41:17     614   0.127742   0.241213
06:42:02     615   0.125896   0.224418
06:42:47     616   0.128278   0.219345
06:43:32     617   0.128274   0.224955
06:44:17     618   0.128234   0.232357
06:45:02     619   0.130975   0.222862
06:45:47     620   0.128193   0.237672
06:46:33     621   0.130625   0.218656
06:47:19     622   0.127447   0.226497
06:48:03     623   0.126728   0.228352
06:48:49     624   0.127385   0.222260
06:49:34     625   0.129731   0.241619
06:50:19     626   0.126633   0.229988
06:51:04     627   0.127219   0.227001
06:51:49     628   0.128537   0.230364
06:52:34     629   0.127870   0.233827
06:53:19     630   0.128854   0.220711
06:54:04     631   0.130317   0.233366
06:54:49     632   0.126579   0.216245
06:55:35     633   0.125458   0.239059
06:56:21     634   0.127237   0.233025
06:57:06     635   0.127284   0.225953
06:57:51     636   0.125482   0.228324
06:58:36     637   0.127559   0.231493
06:59:21     638   0.124933   0.231194
07:00:06     639   0.127298   0.236028
07:00:51     640   0.127958   0.239320
07:01:36     641   0.125883   0.219870
07:02:20     642   0.126072   0.245461
07:03:04     643   0.127790   0.222939
07:03:50     644   0.126420   0.233355
07:04:35     645   0.127596   0.230759
07:05:21     646   0.125639   0.232480
07:06:06     647   0.126627   0.231035
07:06:51     648   0.126400   0.228569
07:07:36     649   0.124849   0.236607
07:08:21     650   0.125917   0.230144
07:09:05     651   0.123284   0.236492
07:09:51     652   0.124618   0.223947
07:10:36     653   0.123114   0.235689
07:11:22     654   0.123395   0.233455
07:12:07     655   0.123551   0.222373
07:12:53     656   0.122454   0.233516
07:13:38     657   0.123543   0.228373
07:14:24     658   0.125373   0.234566
07:15:09     659   0.124944   0.231211
07:15:54     660   0.125724   0.224818
07:16:41     661   0.122429   0.229128
07:17:26     662   0.125183   0.225550
07:18:12     663   0.124081   0.219235
07:18:57     664   0.126487   0.234116
07:19:42     665   0.126701   0.213301
07:20:27     666   0.120913   0.237698
07:21:12     667   0.125100   0.222794
07:21:58     668   0.123109   0.242273
07:22:41     669   0.124615   0.228503
07:23:26     670   0.126103   0.227901
07:24:12     671   0.123640   0.227731
07:24:56     672   0.123035   0.239164
07:25:42     673   0.124978   0.247638
07:26:26     674   0.122676   0.226392
07:27:12     675   0.122461   0.234972
07:27:57     676   0.121487   0.232150
07:28:43     677   0.127281   0.209923 *
07:29:29     678   0.123662   0.229035
07:30:15     679   0.120906   0.214670
07:30:59     680   0.123868   0.233869
07:31:45     681   0.124362   0.222497
07:32:31     682   0.120449   0.229017
07:33:15     683   0.121118   0.226457
07:34:01     684   0.123675   0.219152
07:34:47     685   0.122727   0.230827
07:35:32     686   0.121976   0.230701
07:36:18     687   0.121840   0.233153
07:37:03     688   0.121152   0.217971
07:37:48     689   0.123578   0.241356
07:38:33     690   0.121102   0.225812
07:39:19     691   0.121811   0.229272
07:40:04     692   0.120814   0.236199
07:40:50     693   0.121595   0.237408
07:41:36     694   0.121815   0.237543
07:42:22     695   0.121819   0.227296
07:43:08     696   0.123958   0.224290
07:43:53     697   0.121197   0.224024
07:44:39     698   0.120385   0.232178
07:45:25     699   0.121860   0.214974
07:46:10     700   0.122083   0.239463
07:46:55     701   0.118780   0.240060
07:47:40     702   0.122495   0.244724
07:48:27     703   0.119363   0.232008
07:49:12     704   0.118834   0.233721
07:49:57     705   0.122660   0.225229
07:50:42     706   0.121166   0.225321
07:51:27     707   0.119808   0.230329
07:52:13     708   0.117393   0.239921
07:52:59     709   0.118627   0.229549
07:53:44     710   0.118418   0.232941
07:54:29     711   0.118968   0.243926
07:55:15     712   0.120448   0.236052
07:56:00     713   0.119144   0.231359
07:56:46     714   0.118794   0.236093
07:57:31     715   0.119636   0.228717
07:58:17     716   0.120581   0.237771
07:59:02     717   0.117170   0.218888
07:59:47     718   0.120525   0.215472
08:00:32     719   0.117648   0.231759
08:01:17     720   0.117778   0.227884
08:02:02     721   0.117865   0.233995
08:02:48     722   0.119318   0.231271
08:03:33     723   0.116127   0.218409
08:04:19     724   0.119109   0.230456
08:05:02     725   0.119325   0.226492
08:05:48     726   0.116697   0.245030
08:06:33     727   0.120685   0.222049
08:07:18     728   0.117614   0.234567
08:08:04     729   0.116290   0.229268
08:08:50     730   0.119170   0.231547
08:09:35     731   0.117678   0.221449
08:10:21     732   0.122282   0.213554
08:11:06     733   0.119500   0.231272
08:11:51     734   0.116088   0.236733
08:12:36     735   0.115843   0.227045
08:13:22     736   0.120116   0.226191
08:14:08     737   0.116900   0.235023
08:14:53     738   0.121284   0.226678
08:15:38     739   0.117210   0.237788
08:16:23     740   0.117797   0.218017
